"Depto","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","provincia"
"Maipú",25950,26067,26196,26324,26450,26574,26694,26812,26925,27033,27136,27234,27327,27414,27495,"27571","22"
"Mayor Luis J. Fontana",56458,56823,57187,57552,57916,58279,58640,58997,59351,59701,60044,60381,60712,61036,61352,"61663","22"
"9 de Julio",29236,29543,29851,30159,30467,30773,31077,31380,31680,31974,32265,32550,32829,33102,33370,"33632","22"
"O'Higgins",20642,20757,20873,20988,21105,21219,21333,21447,21559,21669,21778,21885,21990,22092,22193,"22291","22"
"Presidencia de la Plaza",12816,12885,12954,13022,13092,13160,13228,13295,13362,13427,13492,13555,13617,13679,13738,"13797","22"
"1º de Mayo",10542,10742,10942,11143,11343,11543,11741,11938,12134,12326,12515,12701,12883,13061,13235,"13406","22"
"Quitilipi",34888,35275,35664,36053,36442,36829,37213,37596,37975,38347,38714,39073,39426,39773,40110,"40441","22"
"San Fernando",400053,404373,408691,413022,417339,421638,425922,430173,434391,438554,442642,446661,450608,454478,458272,"461965","22"
"San Lorenzo",15073,15168,15263,15360,15454,15550,15644,15738,15830,15922,16012,16099,16186,16271,16354,"16435","22"
"Sargento Cabral",16273,16438,16605,16772,16939,17105,17271,17435,17598,17757,17914,18069,18220,18369,18514,"18656","22"
"Tapenagá",4210,4215,4221,4226,4232,4238,4243,4247,4252,4255,4258,4260,4261,4261,4261,"4261","22"
"25 de Mayo",29936,30177,30419,30661,30903,31144,31384,31622,31856,32089,32317,32540,32759,32975,33185,"33391","22"
"Biedma",83160,86232,89343,92509,95730,99004,102331,105713,109145,112626,116160,119737,123366,127040,130761,"134525","26"
"Cushamen",21118,21495,21863,22221,22579,22925,23259,23586,23910,24228,24538,24835,25126,25407,25689,"25954","26"
"Escalante",187917,192629,197295,201973,206647,211306,215956,220603,225237,229821,234397,238946,243481,247987,252463,"256916","26"
"Florentino Ameghino",1647,1664,1679,1695,1711,1725,1739,1752,1764,1776,1785,1795,1804,1813,1821,"1828","26"
"Futaleufú",43538,44156,44764,45354,45927,46481,47017,47536,48035,48515,48976,49418,49842,50246,50632,"50999","26"
"Gaiman",11253,11435,11614,11790,11962,12130,12293,12453,12608,12759,12904,13047,13184,13316,13445,"13568","26"
"Gastre",1454,1438,1428,1422,1409,1401,1398,1394,1387,1377,1368,1365,1358,1353,1342,"1338","26"
"Languiñeo",3130,3136,3142,3147,3149,3149,3147,3145,3140,3135,3127,3118,3107,3096,3082,"3068","26"
"Mártires",794,781,769,761,753,747,741,734,729,725,715,711,704,700,695,"692","26"
"Paso de Indios",1897,1892,1887,1880,1873,1865,1855,1845,1834,1822,1809,1796,1781,1767,1750,"1735","26"
"Rawson",132849,134337,135772,137147,138456,139696,140869,141970,143006,143968,144869,145697,146455,147153,147788,"148358","26"
"Río Senguer",6073,6063,6095,6114,6130,6153,6173,6182,6191,6227,6248,6266,6281,6295,6308,"6318","26"
"Sarmiento",11459,11805,12154,12506,12863,13221,13583,13948,14314,14683,15055,15427,15802,16179,16559,"16939","26"
"Tehuelches",5467,5484,5499,5511,5521,5527,5530,5531,5529,5523,5516,5506,5493,5479,5461,"5441","26"
"Telsen",1677,1654,1641,1626,1609,1592,1575,1564,1551,1544,1527,1517,1510,1499,1488,"1476","26"
"Colón",62929,64262,65610,66978,68364,69769,71191,72630,74086,75555,77039,78535,80043,81563,83093,"84632","30"
"Concordia",172660,174685,176214,178095,179976,181853,183725,185592,187448,189291,191117,192924,194711,196476,198216,"199927","30"
"Diamante",47112,47551,47990,48428,48863,49294,49721,50145,50565,50978,51384,51782,52175,52558,52933,"53298","30"
"Federación",69640,70953,72276,73615,74969,76335,77715,79106,80510,81921,83341,84769,86203,87641,89084,"90530","30"
"Federal",26298,26497,26695,26892,27087,27279,27468,27654,27836,28014,28189,28358,28522,28682,28836,"28984","30"
"Feliciano",15332,15451,15570,15688,15804,15919,16033,16145,16255,16363,16468,16571,16670,16767,16861,"16951","30"
"Gualeguay",52692,53285,53879,54472,55065,55656,56245,56832,57414,57993,58565,59130,59690,60241,60785,"61320","30"
"Gualeguaychú",111146,112462,113779,115098,116416,117732,119044,120352,121655,122948,124231,125501,126759,128003,129229,"130439","30"
"Islas del Ibicuy",12273,12391,12508,12625,12742,12857,12972,13086,13199,13310,13420,13527,13633,13737,13839,"13937","30"
"La Paz",68082,68427,69021,69432,69835,70230,70615,70991,71356,71710,72051,72378,72691,72990,73274,"73542","30"
"Nogoyá",39721,39900,40077,40251,40419,40582,40739,40891,41036,41174,41304,41427,41541,41646,41742,"41830","30"
"Paraná",345428,348672,351907,355130,358337,361515,364668,367792,370876,373924,376912,379856,382741,385567,388325,"391022","30"
"San Salvador",17622,17840,18059,18278,18497,18717,18936,19155,19373,19589,19804,20018,20229,20439,20646,"20850","30"
"Tala",26139,26205,26271,26334,26392,26447,26499,26546,26589,26626,26659,26686,26708,26724,26735,"26739","30"
"Uruguay",102315,103416,104516,105617,106714,107807,108894,109975,111048,112111,113161,114198,115221,116229,117220,"118192","30"
"Victoria",36347,36688,37029,37369,37707,38042,38373,38702,39028,39349,39665,39974,40279,40576,40868,"41152","30"
"Villaguay",49838,50059,50530,50819,51103,51381,51651,51914,52169,52414,52651,52876,53092,53297,53491,"53674","30"
"Bermejo",14614,14788,14962,15135,15305,15473,15641,15805,15968,16127,16281,16431,16576,16718,16853,"16983","34"
"Formosa",243648,246546,249432,252299,255142,257952,260727,263471,266173,268814,271381,273881,276309,278654,280914,"283080","34"
"Laishi",17777,17905,18033,18161,18287,18413,18536,18658,18777,18895,19009,19120,19228,19333,19433,"19529","34"
"Matacos",14930,15162,15394,15623,15852,16078,16300,16521,16737,16949,17156,17356,17551,17739,17920,"18094","34"
"Patiño",71425,72006,72584,73159,73730,74293,74850,75401,75942,76471,76987,77488,77974,78445,78898,"79333","34"
"Pilagás",19168,19312,19454,19595,19736,19875,20013,20149,20282,20412,20540,20663,20783,20899,21011,"21118","34"
"Pilcomayo",88467,89356,90241,91121,91994,92855,93709,94551,95379,96189,96978,97745,98490,99211,99905,"100571","34"
"Pirané",67331,67595,67856,68117,68375,68631,68883,69133,69378,69618,69852,70079,70300,70514,70720,"70917","34"
"Ramón Lista",14266,14553,14838,15121,15402,15680,15955,16227,16493,16754,17009,17256,17495,17727,17951,"18165","34"
"Cochinoca",12873,12955,13036,13114,13190,13265,13336,13405,13471,13533,13592,13647,13699,13747,13791,"13832","38"
"Dr. Manuel Belgrano",269080,273067,277070,281080,285090,289087,293073,297051,301009,304936,308821,312671,316474,320238,323959,"327628","38"
"El Carmen",98361,100146,101941,103748,105566,107391,109222,111058,112896,114733,116567,118397,120222,122041,123852,"125650","38"
"Humahuaca",17665,17780,17896,18008,18117,18222,18324,18423,18517,18606,18692,18771,18847,18917,18982,"19041","38"
"Ledesma",83170,83841,84506,85161,85803,86431,87042,87639,88216,88774,89309,89823,90315,90783,91229,"91648","38"
"Palpalá",53437,54110,54782,55453,56120,56784,57441,58093,58737,59374,59999,60614,61220,61814,62396,"62965","38"
"Rinconada",2525,2565,2597,2634,2670,2709,2748,2784,2821,2860,2903,2943,2987,3034,3075,"3118","38"
"San Antonio",4518,4628,4739,4852,4966,5082,5200,5318,5439,5560,5684,5808,5933,6059,6185,"6314","38"
"San Pedro",76300,76907,77509,78101,78682,79249,79801,80338,80859,81362,81843,82305,82747,83167,83565,"83940","38"
"Santa Bárbara",18041,18161,18280,18395,18507,18617,18722,18824,18921,19015,19103,19185,19264,19337,19405,"19466","38"
"Santa Catalina",2861,2840,2816,2791,2766,2741,2721,2695,2670,2644,2619,2597,2577,2555,2529,"2502","38"
"Susques",3856,3885,3915,3943,3972,4000,4027,4053,4079,4104,4127,4151,4172,4194,4214,"4233","38"
"Tilcara",12499,12777,13057,13341,13629,13918,14211,14508,14807,15107,15410,15713,16019,16326,16634,"16943","38"
"Tumbaya",4741,4765,4789,4813,4835,4857,4877,4897,4915,4932,4948,4962,4975,4987,4997,"5005","38"
"Valle Grande",2495,2509,2523,2536,2550,2563,2575,2587,2598,2609,2619,2628,2637,2644,2652,"2659","38"
"Yavi",21091,21443,21796,22151,22508,22864,23222,23579,23936,24291,24645,24997,25348,25696,26042,"26384","38"
"Atreucó",10436,10461,10484,10505,10523,10539,10553,10565,10573,10580,10584,10585,10583,10579,10572,"10563","42"
"Caleu Caleu",2367,2407,2447,2487,2527,2567,2607,2648,2688,2729,2768,2809,2848,2889,2928,"2967","42"
"Capital",107914,109162,110396,111626,112846,114047,115221,116384,117536,118669,119781,120858,121922,122966,123989,"124984","42"
"Catriló",7480,7549,7618,7686,7753,7817,7881,7945,8006,8066,8124,8181,8236,8290,8342,"8392","42"
"Chalileo",3051,3112,3174,3236,3298,3361,3424,3488,3551,3616,3680,3744,3807,3871,3935,"4000","42"
"Chapaleufú",11914,12037,12159,12280,12400,12518,12632,12747,12860,12971,13079,13185,13289,13390,13489,"13584","42"
"Chical Co",1547,1543,1540,1536,1531,1532,1530,1527,1524,1520,1519,1518,1515,1514,1513,"1512","42"
"Conhelo",14487,14466,14445,14418,14391,14358,14338,14306,14269,14229,14191,14165,14124,14076,14024,"13970","42"
"Curacó",1066,1079,1093,1105,1118,1131,1144,1156,1169,1180,1193,1204,1217,1228,1240,"1251","42"
"Guatraché",9088,9075,9061,9044,9026,9005,8982,8957,8931,8902,8871,8838,8803,8766,8726,"8685","42"
"Hucal",7768,7732,7695,7657,7617,7581,7552,7518,7482,7445,7406,7370,7339,7305,7270,"7234","42"
"Lihuel Calel",457,439,424,408,394,380,369,357,345,334,324,314,305,296,289,"282","42"
"Limay Mahuida",516,521,528,535,543,549,556,563,570,577,583,590,597,604,611,"618","42"
"Loventué",8854,8890,8924,8958,8988,9017,9044,9069,9092,9113,9131,9147,9161,9173,9183,"9190","42"
"Maracó",60477,61197,61912,62622,63326,64023,64708,65385,66055,66716,67361,67995,68619,69231,69832,"70419","42"
"Puelén",9664,9901,10138,10380,10623,10872,11123,11376,11634,11894,12157,12423,12691,12962,13235,"13511","42"
"Quemú Quemú",8903,8928,8954,8977,8998,9016,9033,9049,9062,9072,9080,9087,9090,9093,9092,"9089","42"
"Rancul",10966,10990,11014,11035,11054,11069,11082,11093,11102,11108,11111,11111,11108,11103,11095,"11084","42"
"Realicó",16645,16790,16934,17076,17215,17352,17484,17615,17742,17866,17986,18102,18215,18324,18429,"18529","42"
"Toay",12609,13091,13581,14087,14608,15141,15675,16232,16805,17395,17994,18605,19234,19878,20540,"21219","42"
"Trenel",5591,5562,5534,5504,5472,5440,5418,5393,5368,5342,5325,5306,5287,5266,5245,"5223","42"
"Utracán",15228,15336,15441,15544,15644,15741,15835,15926,16014,16098,16180,16257,16332,16403,16468,"16532","42"
"Arauco",15835,16051,16271,16493,16718,16944,17171,17400,17629,17856,18083,18309,18533,18755,18975,"19191","46"
"Capital",185579,189203,192872,196588,200334,204110,207904,211706,215513,219320,223101,226872,230610,234308,237966,"241574","46"
"Castro Barros",4417,4430,4444,4458,4472,4485,4498,4512,4525,4539,4553,4566,4580,4594,4607,"4621","46"
"Chamical",14565,14670,14778,14886,14996,15108,15218,15330,15442,15554,15664,15775,15884,15994,16100,"16206","46"
"Chilecito",50720,51601,52490,53391,54302,55217,56126,57049,57972,58894,59812,60721,61622,62516,63397,"64269","46"
"Coronel Felipe Varela",9945,9936,9927,9918,9909,9900,9890,9881,9872,9863,9853,9844,9835,9826,9817,"9808","46"
"Famatina",6052,6011,5974,5935,5894,5856,5828,5789,5751,5712,5674,5641,5608,5575,5544,"5513","46"
"General Angel V. Peñaloza",3167,3169,3171,3173,3175,3177,3179,3181,3183,3185,3187,3188,3191,3193,3195,"3197","46"
"General Belgrano",7584,7624,7664,7704,7745,7786,7827,7869,7911,7951,7993,8033,8075,8115,8155,"8194","46"
"General Juan F. Quiroga",4245,4200,4157,4112,4069,4022,3979,3941,3900,3857,3819,3777,3736,3702,3668,"3634","46"
"General Lamadrid",1786,1791,1797,1803,1809,1815,1821,1827,1833,1839,1846,1851,1857,1864,1869,"1875","46"
"General Ocampo",7367,7352,7337,7322,7307,7291,7276,7259,7244,7228,7213,7197,7182,7166,7152,"7136","46"
"General San Martín",5092,5102,5112,5124,5134,5144,5156,5166,5176,5188,5198,5208,5220,5230,5240,"5250","46"
"Independencia",2498,2506,2514,2522,2532,2541,2550,2559,2568,2576,2587,2596,2604,2614,2623,"2632","46"
"Rosario Vera Peñaloza",14454,14567,14681,14795,14912,15029,15147,15265,15383,15501,15619,15736,15852,15967,16081,"16193","46"
"San Blas de los Sauces",4049,4035,4021,4006,3991,3976,3961,3945,3930,3914,3899,3884,3869,3854,3840,"3826","46"
"Sanagasta",2411,2435,2460,2485,2510,2536,2562,2588,2613,2639,2665,2691,2716,2741,2765,"2790","46"
"Vinchina",2816,2811,2806,2801,2796,2791,2786,2780,2775,2770,2765,2759,2753,2746,2741,"2736","46"
"Capital",117730,117952,118172,118390,118607,118821,119033,119243,119450,119654,119854,120051,120246,120437,120625,"120809","50"
"General Alvear",47456,47793,48130,48463,48793,49120,49442,49761,50076,50387,50693,50993,51288,51580,51864,"52143","50"
"Godoy Cruz",196209,197283,198353,199413,200465,201503,202530,203546,204549,205537,206510,207466,208408,209332,210239,"211129","50"
"Guaymallén",289412,293908,298371,302808,307201,311541,315833,320079,324272,328402,332468,336466,340402,344264,348055,"351771","50"
"Junín",38652,39103,39553,39998,40440,40876,41309,41735,42156,42572,42980,43382,43778,44167,44548,"44921","50"
"La Paz",10238,10299,10362,10423,10483,10543,10602,10660,10718,10775,10831,10886,10940,10993,11046,"11097","50"
"Las Heras",207786,210699,213595,216470,219317,222132,224915,227667,230384,233063,235699,238291,240841,243346,245804,"248214","50"
"Lavalle",37445,38133,38818,39497,40170,40836,41493,42143,42785,43418,44040,44653,45255,45847,46428,"46997","50"
"Luján de Cuyo",122187,124392,126585,128762,130918,133049,135156,137239,139297,141325,143320,145283,147214,149110,150970,"152795","50"
"Maipú",175777,178432,181072,183692,186287,188853,191390,193898,196375,198816,201218,203581,205905,208189,210428,"212624","50"
"Malargüe",28151,28828,29501,30170,30832,31486,32134,32775,33406,34029,34642,35246,35839,36421,36993,"37553","50"
"Rivadavia",57567,58187,58806,59419,60025,60626,61219,61806,62385,62956,63518,64071,64615,65149,65673,"66187","50"
"San Carlos",33250,33885,34519,35146,35768,36382,36989,37591,38183,38768,39343,39910,40466,41013,41550,"42076","50"
"San Martín",120667,122163,123651,125127,126590,128036,129465,130878,132274,133649,135003,136334,137645,138931,140194,"141430","50"
"San Rafael",191943,194157,196359,198544,200708,202848,204963,207055,209121,211157,213160,215131,217068,218973,220841,"222672","50"
"Santa Rosa",16744,16850,16955,17059,17163,17266,17367,17466,17565,17663,17758,17852,17944,18035,18125,"18212","50"
"Tunuyán",50369,51418,52460,53495,54520,55533,56534,57525,58503,59467,60416,61349,62266,63168,64053,"64921","50"
"Tupungato",33154,33753,34346,34937,35522,36100,36671,37237,37794,38344,38885,39418,39941,40456,40960,"41455","50"
"Apóstoles",42722,43211,43696,44177,44653,45123,45588,46047,46501,46948,47387,47819,48244,48661,49070,"49471","54"
"Cainguás",53989,54699,55402,56100,56790,57472,58145,58813,59470,60119,60756,61382,61998,62605,63198,"63780","54"
"Candelaria",27292,27829,28363,28891,29413,29930,30440,30946,31445,31936,32419,32893,33360,33819,34269,"34710","54"
"Capital",328135,332673,337177,341638,346054,350410,354719,358986,363204,367349,371424,375429,379374,383246,387045,"390765","54"
"Concepción",9697,9758,9818,9877,9937,9995,10052,10109,10165,10221,10275,10328,10381,10433,10484,"10533","54"
"Eldorado",79027,80227,81419,82600,83768,84922,86063,87192,88307,89405,90484,91543,92588,93613,94618,"95603","54"
"General Manuel Belgrano",43255,44314,45364,46405,47435,48452,49458,50453,51435,52404,53354,54289,55209,56113,57000,"57868","54"
"Guaraní",68585,69734,70874,72005,73124,74228,75320,76402,77469,78520,79553,80568,81567,82549,83512,"84454","54"
"Iguazú",82952,84724,86480,88222,89945,91647,93328,94994,96639,98258,99849,101413,102952,104465,105947,"107400","54"
"Leandro N. Alem",45612,46016,46416,46813,47205,47593,47976,48355,48730,49098,49461,49817,50167,50512,50850,"51181","54"
"Libertador General San Martín",47102,47585,48063,48539,49008,49471,49930,50384,50831,51273,51706,52133,52552,52963,53367,"53763","54"
"Montecarlo",37187,37504,37819,38130,38438,38743,39044,39342,39635,39925,40209,40490,40765,41035,41301,"41559","54"
"Oberá",108681,110049,111406,112750,114081,115394,116693,117979,119248,120499,121727,122934,124122,125290,126436,"127556","54"
"San Ignacio",58463,58798,59131,59461,59788,60111,60430,60745,61058,61365,61666,61963,62254,62541,62822,"63097","54"
"San Javier",21155,21346,21534,21721,21907,22089,22271,22449,22626,22800,22971,23139,23304,23466,23626,"23782","54"
"San Pedro",31294,32117,32932,33740,34540,35330,36111,36884,37647,38399,39137,39863,40578,41281,41969,"42642","54"
"25 de Mayo",28131,28214,28295,28376,28456,28536,28614,28691,28767,28843,28916,28989,29061,29131,29200,"29267","54"
"Aluminé",8582,8875,9172,9474,9781,10092,10408,10729,11054,11384,11718,12057,12400,12749,13101,"13459","58"
"Añelo",11121,11604,12102,12614,13142,13683,14239,14812,15400,16003,16622,17258,17910,18580,19266,"19970","58"
"Catán Lil",2695,2718,2741,2763,2784,2805,2825,2843,2861,2879,2896,2912,2927,2941,2955,"2968","58"
"Chos Malal",15853,16022,16185,16341,16490,16630,16764,16891,17011,17123,17229,17327,17419,17503,17583,"17656","58"
"Collón Curá",4717,4738,4758,4779,4799,4820,4840,4859,4879,4899,4918,4937,4955,4973,4991,"5009","58"
"Confluencia",376434,382083,387611,393009,398269,403382,408353,413185,417874,422415,426804,431047,435156,439124,442956,"446648","58"
"Huiliches",15274,15548,15820,16088,16352,16611,16866,17116,17363,17605,17842,18074,18302,18526,18744,"18959","58"
"Lácar",30819,31523,32227,32929,33629,34326,35018,35709,36395,37078,37756,38429,39099,39765,40426,"41084","58"
"Loncopué",7196,7273,7348,7421,7491,7558,7623,7686,7745,7802,7858,7910,7961,8009,8055,"8099","58"
"Los Lagos",12293,12775,13268,13774,14291,14820,15362,15914,16480,17057,17647,18248,18863,19491,20132,"20786","58"
"Minas",7620,7654,7688,7721,7753,7785,7815,7847,7876,7906,7935,7963,7990,8017,8044,"8071","58"
"Ñorquín",5649,5692,5735,5777,5816,5856,5893,5930,5965,5999,6031,6062,6092,6121,6149,"6175","58"
"Pehuenches",23587,24754,25920,27084,28246,29402,30553,31697,32835,33963,35081,36189,37286,38372,39447,"40509","58"
"Picún Leufú",4757,4813,4868,4924,4978,5031,5083,5134,5185,5235,5282,5330,5375,5421,5466,"5508","58"
"Picunches",7294,7386,7474,7558,7641,7720,7796,7869,7939,8005,8069,8130,8188,8243,8295,"8344","58"
"Zapala",38019,38262,38505,38747,38987,39224,39459,39692,39922,40148,40369,40588,40803,41015,41223,"41428","58"
"Adolfo Alsina",58594,59298,60002,60701,61396,62086,62771,63452,64124,64791,65450,66102,66746,67383,68011,"68631","62"
"Avellaneda",35882,36342,36799,37255,37709,38158,38604,39047,39486,39920,40349,40774,41193,41608,42018,"42422","62"
"Bariloche",135338,138259,141169,144067,146948,149808,152646,155462,158251,161012,163743,166443,169112,171749,174351,"176919","62"
"Conesa",7177,7285,7391,7498,7604,7708,7813,7916,8019,8119,8221,8319,8417,8515,8609,"8704","62"
"El Cuy",5348,5496,5643,5788,5934,6078,6221,6363,6505,6643,6781,6918,7052,7185,7317,"7446","62"
"General Roca",326007,330502,334968,339476,343954,348406,352820,357230,361612,366014,370245,374450,378623,382550.642653387,386605,"390644","62"
"9 de julio",3549,3534,3510,3487,3464,3442,3419,3397,3376,3354,3334,3313,3293,3272,3253,"3233","62"
"Ñorquincó",1782,1733,1705,1661,1619,1585,1553,1522,1491,1460,1430,1401,1371,1349,1321,"1294","62"
"Pichi Mahuida",14368,14375,14382,14390,14397,14404,14412,14419,14426,14433,14441,14448,14454,14461,14468,"14475","62"
"Pilcaniyeu",7526,7714,7901,8088,8274,8458,8641,8822,9002,9180,9356,9530,9702,9873,10040,"10206","62"
"San Antonio",29668,30412,31155,31894,32630,33360,34084,34803,35515,36107,36787,37460,38126,38961,39625,"40280","62"
"Valcheta",7067,7261,7462,7616,7769,7910,8049,8155,8249,8393,8556,8697,8824,8956.00837897526,9080,"9161","62"
"25 de Mayo",15971,16275,16576,16876,17175,17471,17766,18058,18347,18634,18917,19197,19474,19747,20017,"20282","62"
"Anta",58556,59619,60679,61736,62788,63830,64866,65896,66918,67927,68925,69909,70881,71843,72788,"73719","66"
"Cachi",7487,7506,7524,7543,7562,7580,7599,7617,7636,7653,7672,7689,7706,7724,7740,"7756","66"
"Cafayate",15112,15526,15941,16354,16764,17172,17577,17979,18378,18774,19162,19548,19927,20303,20672,"21036","66"
"Capital",546858,555499,564108,572685,581223,589696,598107,606474,614764,622964,631058,639055,646956,654756,662439,"670002","66"
"Cerrillos",36363,37623,38881,40134,41380,42617,43845,45066,46277,47476,48658,49825,50979,52117,53240,"54343","66"
"Chicoana",21127,21478,21826,22175,22520,22863,23205,23543,23879,24212,24541,24864,25184,25501,25811,"26119","66"
"General Güemes",48194,48913,49630,50346,51057,51763,52465,53161,53853,54536,55211,55877,56535,57185,57826,"58456","66"
"General José de San Martín",160093,162633,165169,167695,170207,172700,175176,177638,180080,182495,184877,187231,189556,191852,194114,"196340","66"
"Guachipas",3264,3266,3269,3271,3273,3276,3279,3281,3283,3286,3288,3290,3293,3295,3297,"3299","66"
"Iruya",6138,6101,6066,6030,5994,5959,5924,5889,5854,5820,5786,5752,5720,5687,5655,"5623","66"
"La Caldera",7888,8161,8434,8705,8975,9242,9508,9773,10035,10295,10551,10804,11054,11300,11543,"11782","66"
"La Candelaria",5828,5891,5955,6019,6082,6146,6208,6269,6331,6392,6452,6511,6571,6628,6686,"6741","66"
"La Poma",1779,1779,1778,1777,1777,1776,1775,1776,1775,1774,1773,1773,1772,1771,1771,"1771","66"
"La Viña",7602,7652,7702,7751,7801,7849,7897,7945,7993,8041,8088,8133,8179,8224,8269,"8312","66"
"Los Andes",6181,6247,6312,6378,6443,6506,6571,6634,6697,6759,6821,6882,6942,7002,7060,"7117","66"
"Metán",41259,41510,41762,42012,42261,42507,42753,42997,43239,43478,43714,43947,44178,44405,44629,"44849","66"
"Molinos",5783,5801,5819,5836,5854,5872,5889,5906,5924,5941,5958,5974,5991,6006,6022,"6038","66"
"Orán",141683,143824,145959,148088,150203,152304,154390,156464,158520,160555,162562,164544,166504,168438,170343,"172219","66"
"Rivadavia",30997,31418,31839,32258,32675,33088,33499,33907,34313,34714,35109,35499,35885,36266,36641,"37010","66"
"Rosario de la Frontera",29644,29824,30003,30182,30359,30534,30709,30883,31055,31225,31393,31560,31723,31885,32045,"32203","66"
"Rosario de Lerma",39480,40134,40787,41438,42084,42726,43364,43998,44626,45248,45862,46467,47067,47657,48240,"48813","66"
"San Carlos",7187,7176,7167,7156,7145,7136,7126,7116,7106,7096,7087,7077,7068,7058,7050,"7040","66"
"Santa Victoria",10608,10530,10452,10375,10299,10223,10146,10071,9996,9923,9849,9777,9707,9636,9567,"9499","66"
"Albardón",24362,24857,25351,25846,26340,26833,27325,27815,28304,28788,29269,29744,30218,30687,31150,"31609","70"
"Angaco",8310,8398,8487,8575,8663,8751,8839,8926,9013,9100,9186,9271,9356,9439,9522,"9604","70"
"Calingasta",8794,8865,8937,9008,9079,9151,9222,9293,9363,9433,9503,9571,9641,9708,9775,"9841","70"
"Capital",111999,111536,111072,110608,110145,109684,109222,108764,108306,107850,107401,106955,106509,106070,105639,"105208","70"
"Caucete",39133,39819,40505,41191,41877,42560,43241,43922,44598,45271,45938,46598,47255,47904,48547,"49183","70"
"Chimbas",88999,90775,92553,94331,96107,97878,99645,101405,103159,104900,106627,108341,110040,111724,113390,"115037","70"
"Iglesia",9261,9586,9913,10240,10566,10892,11216,11539,11862,12182,12499,12814,13126,13435,13741,"14045","70"
"Jáchal",22253,22387,22522,22657,22791,22924,23058,23191,23324,23456,23586,23716,23845,23972,24098,"24223","70"
"9 de Julio",9482,9711,9941,10172,10401,10629,10858,11086,11313,11538,11761,11982,12202,12420,12634,"12848","70"
"Pocito",54060,55730,57402,59075,60745,62410,64071,65726,67376,69014,70638,72249,73847,75430,76998,"78546","70"
"Rawson",117007,118001,118995,119991,120984,121975,122962,123948,124929,125904,126870,127828,128779,129722,130654,"131576","70"
"Rivadavia",84505,85355,86205,87056,87906,88753,89598,90441,91279,92112,92939,93758,94571,95377,96174,"96962","70"
"San Martín",11360,11508,11657,11805,11953,12101,12248,12394,12541,12687,12830,12973,13114,13255,13394,"13531","70"
"Santa Lucía",49139,49760,50382,51004,51625,52244,52862,53478,54091,54701,55304,55904,56498,57087,57669,"58246","70"
"Sarmiento",22584,23020,23457,23892,24329,24763,25196,25629,26059,26487,26910,27331,27748,28161,28570,"28974","70"
"Ullum",4995,5056,5116,5178,5239,5299,5359,5419,5479,5538,5598,5656,5715,5772,5829,"5885","70"
"Valle Fértil",7392,7453,7515,7576,7638,7698,7760,7821,7881,7942,8001,8060,8118,8177,8234,"8291","70"
"25 de Mayo",17483,17765,18048,18330,18613,18895,19175,19455,19734,20010,20285,20557,20827,21095,21360,"21622","70"
"Zonda",4958,5070,5182,5295,5407,5519,5631,5742,5853,5963,6072,6181,6288,6395,6500,"6604","70"
"Ayacucho",19613,19856,20100,20344,20587,20830,21071,21313,21554,21793,22030,22266,22501,22733,22963,"23189","74"
"Belgrano",4104,4122,4140,4158,4176,4193,4211,4229,4246,4264,4281,4298,4316,4333,4350,"4367","74"
"Chacabuco",21318,21568,21818,22068,22318,22566,22815,23063,23309,23555,23798,24040,24280,24519,24754,"24987","74"
"Coronel Pringles",13541,13619,13698,13775,13853,13931,14008,14085,14162,14239,14315,14391,14466,14540,14613,"14686","74"
"General Pedernera",129349,130973,132599,134223,135845,137464,139078,140687,142291,143887,145471,147044,148606,150152,151684,"153196","74"
"Gobernador Dupuy",12122,12198,12273,12348,12424,12499,12574,12647,12722,12796,12869,12942,13014,13086,13157,"13227","74"
"Junín",29607,30481,31353,32226,33097,33966,34833,35697,36559,37416,38266,39111,39950,40782,41604,"42416","74"
"La Capital",209426,212801,216175,219549,222916,226277,229628,232974,236302,239614,242908,246175,249414,252625,255804,"258947","74"
"Libertador General San Martín",4864,4816,4768,4720,4673,4625,4578,4530,4484,4436,4390,4343,4298,4253,4208,"4163","74"
"Corpen Aike",11153,11522,11892,12263,12635,13007,13379,13752,14124,14497,14869,15243,15617,15991,16365,"16738","78"
"Deseado",108157,112211,116277,120353,124434,128514,132598,136687,140782,144876,148968,153063,157167,161269,165378,"169485","78"
"Güer Aike",114031,116487,118955,121466,124000,126555,129110,131668,134230,136792,139354,141917,144483,147052,149620,"152189","78"
"Lago Argentino",18891,20104,21322,22503,23666,24809,25953,27099,28245,29393,30540,31688,32837,33988,35139,"36291","78"
"Lago Buenos Aires",8795,9090,9386,9684,9981,10277,10575,10873,11171,11469,11767,12065,12364,12663,12962,"13260","78"
"Magallanes",9250,9563,9877,10190,10504,10820,11134,11449,11764,12080,12395,12711,13027,13344,13659,"13976","78"
"Río Chico",5175,5437,5698,5961,6224,6487,6750,7014,7277,7540,7805,8069,8332,8597,8861,"9126","78"
"Belgrano",45619,46186,46760,47341,47927,48517,49110,49705,50301,50897,51493,52086,52679,53269,53857,"54442","82"
"Caseros",83778,84332,84893,85457,86021,86582,87140,87691,88236,88772,89297,89812,90314,90804,91281,"91746","82"
"Castellanos",181359,183736,186140,188573,191030,193506,195997,198499,201008,203520,206032,208542,211047,213548,216041,"218527","82"
