"Depto","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","provincia"
"Campana",95041,96152,97252,98340,99415,100474,101518,102549,103565,104566,105552,106522,107480,108423,109352,"110268","6"
"Cañuelas",52059,53205,54342,55468,56579,57673,58752,59817,60867,61903,62921,63923,64913,65888,66849,"67795","6"
"Capitán Sarmiento",14576,14767,14957,15144,15329,15512,15692,15869,16044,16216,16387,16553,16718,16881,17041,"17198","6"
"Carlos Casares",22407,22544,22680,22815,22947,23078,23206,23334,23459,23583,23704,23824,23941,24059,24173,"24286","6"
"Carlos Tejedor",11680,11679,11678,11677,11676,11675,11674,11673,11672,11671,11671,11669,11669,11667,11667,"11665","6"
"Carmen de Areco",14809,14888,14967,15044,15121,15197,15271,15345,15418,15489,15560,15629,15697,15765,15831,"15896","6"
"Castelli",8270,8312,8354,8396,8437,8478,8517,8556,8595,8633,8671,8708,8744,8781,8816,"8851","6"
"Chacabuco",49052,49431,49806,50179,50546,50907,51263,51615,51962,52304,52640,52971,53298,53620,53937,"54249","6"
"Chascomús",42548,42992,43432,43868,44299,44722,45140,45552,45958,46359,46754,47141,47524,47902,48273,"48640","6"
"Chivilcoy",64671,65066,65458,65845,66228,66605,66976,67343,67705,68062,68412,68758,69099,69435,69766,"70091","6"
"Colón",25063,25276,25487,25695,25901,26105,26305,26503,26697,26889,27078,27264,27447,27629,27806,"27982","6"
"Coronel de Marina Leonardo Rosales",62712,62796,62880,62962,63044,63124,63203,63281,63358,63433,63508,63581,63654,63725,63795,"63864","6"
"Coronel Dorrego",15998,15911,15829,15747,15668,15589,15511,15435,15359,15285,15212,15141,15070,15000,14931,"14864","6"
"Coronel Pringles",23179,23068,22965,22861,22760,22659,22561,22463,22368,22273,22180,22089,21999,21910,21823,"21737","6"
"Coronel Suárez",38628,38812,38988,39163,39336,39506,39673,39838,40001,40162,40320,40474,40627,40778,40927,"41073","6"
"Daireaux",17013,17138,17263,17387,17508,17629,17747,17863,17979,18093,18204,18314,18422,18530,18635,"18738","6"
"Dolores",27251,27406,27559,27711,27860,28007,28152,28296,28438,28576,28714,28849,28982,29113,29242,"29370","6"
"Ensenada",57123,57615,58103,58585,59062,59532,59995,60452,60903,61346,61783,62214,62638,63057,63469,"63874","6"
"Escobar",215256,218766,223018,227205,231337,235408,239461,243456,247385,251245,255073,258805,262495,266121,269692,"273209","6"
"Exaltación de la Cruz",29888,30591,31288,31978,32659,33330,33991,34643,35287,35922,36545,37161,37766,38364,38953,"39532","6"
"Florentino Ameghino",8932,9007,9082,9155,9228,9300,9371,9441,9510,9578,9645,9711,9776,9839,9903,"9964","6"
"General Alvarado",39837,40293,40744,41191,41632,42066,42494,42917,43334,43744,44149,44546,44938,45326,45707,"46083","6"
"General Alvear",11234,11260,11286,11311,11336,11361,11385,11410,11433,11456,11480,11503,11524,11546,11568,"11590","6"
"General Arenales",15042,15044,15047,15048,15050,15052,15054,15056,15058,15059,15061,15062,15064,15066,15068,"15070","6"
"General Belgrano",17474,17665,17856,18045,18230,18414,18594,18773,18949,19123,19293,19461,19627,19790,19951,"20110","6"
"General Guido",2841,2847,2852,2857,2862,2867,2872,2877,2882,2887,2892,2897,2901,2906,2910,"2915","6"
"General Juan Madariaga",19880,20062,20241,20419,20594,20767,20938,21106,21273,21436,21596,21755,21912,22065,22217,"22367","6"
"General La Madrid",10892,10866,10839,10814,10788,10763,10738,10713,10689,10665,10642,10619,10596,10573,10551,"10529","6"
"General Las Heras",14955,15215,15472,15727,15978,16226,16469,16710,16948,17182,17412,17639,17863,18083,18300,"18514","6"
"General Lavalle",3713,3792,3870,3947,4023,4099,4172,4246,4318,4389,4459,4528,4596,4663,4729,"4794","6"
"General Paz",11294,11343,11392,11441,11489,11536,11583,11629,11674,11719,11763,11806,11849,11891,11932,"11973","6"
"General Pinto",11363,11379,11394,11409,11423,11438,11452,11467,11481,11494,11508,11521,11534,11547,11560,"11573","6"
"General Pueyrredón",624388,627723,631064,634372,637637,640855,644055,647215,650332,653406,656456,659462,662430,665357,668242,"671085","6"
"General Rodríguez",87339,89700,92041,94357,96643,98895,101116,103308,105469,107599,109695,111759,113795,115802,117780,"119727","6"
"General Viamonte",18232,18288,18343,18397,18451,18505,18556,18608,18659,18709,18758,18807,18855,18903,18949,"18995","6"
"General Villegas",31092,31324,31555,31784,32009,32232,32451,32667,32880,33090,33297,33501,33701,33899,34094,"34286","6"
"Guaminí",11918,11988,12058,12127,12195,12263,12329,12394,12458,12522,12584,12646,12707,12766,12825,"12883","6"
