"link";"id_provincia";"id_depto";"id_localidad";"provincia";"departamento";"localidad";"func_loc";"tiploc";"tip2loc";"personas";"hogares";"latitud";"longitud";"geom"
6875025;6;875;25;"BUENOS AIRES";"VILLARINO";"COUNTRY LOS MEDANOS";0;1;0;61;24;-38.8439;-62.7381;"0101000020E6100000000000007A5E4FC0000000E0046C43C0"
18028040;18;28;40;"CORRIENTES";"CONCEPCION";"TATACUA";0;1;0;731;161;-28.3731;-58.3206;"0101000020E61000000000006009294DC000000080835F3CC0"
26014025;26;14;25;"CHUBUT";"CUSHAMEN";"COSTA DEL CHUBUT";0;1;0;56;24;-42.6043;-70.4585;"0101000020E610000000000040589D51C000000080584D45C0"
42112005;42;112;5;"LA PAMPA";"PUELEN";"CASA DE PIEDRA";0;1;0;154;45;-38.1528;-67.1556;"0101000020E6100000000000A0F4C950C0000000408E1343C0"
58077070;58;77;70;"NEUQUEN";"MINAS";"VILLA DEL NAHUEVE";0;1;0;197;65;-37.0619;-70.7758;"0101000020E6100000000000C0A6B151C000000060EC8742C0"
74035055;74;35;55;"SAN LUIS";"GENERAL PEDERNERA";"NACION RANQUEL";0;1;0;57;20;-34.6278;-65.6761;"0101000020E610000000000060456B50C0000000005B5041C0"
50056075;50;56;75;"MENDOZA";"LAVALLE";"BARRIO VIRGEN DEL ROSARIO";0;1;0;211;52;-32.995;-68.9419;"0101000020E6100000000000C0483C51C0000000205C7F40C0"
58007015;58;7;15;"NEUQUEN";"ALUMINE";"MOQUEHUE";0;1;0;270;87;-38.9424;-71.329;"0101000020E6100000000000A00ED551C000000060A07843C0"
54084005;54;84;5;"MISIONES";"MONTECARLO";"BARRIO GUATAMBU";0;1;0;305;64;-25.6064;-54.57;"0101000020E6100000000000C0F5484BC0000000403C9B39C0"
6119015;6;119;15;"BUENOS AIRES";"BRANDSEN";"BARRIO EL MIRADOR";0;1;0;226;83;-35.315;-58.053;"0101000020E610000000000080C9064DC0000000A051A841C0"
6119045;6;119;45;"BUENOS AIRES";"BRANDSEN";"CAMPOS DE ROCA";0;1;0;234;72;-35.1106;-58.0897;"0101000020E6100000000000407A0B4DC000000040298E41C0"
6119055;6;119;55;"BUENOS AIRES";"BRANDSEN";"CLUB DE CAMPO LAS MALVINAS";0;1;0;4;2;-35.1863;-58.2393;"0101000020E610000000000000A11E4DC000000040D79741C0"
6119085;6;119;85;"BUENOS AIRES";"BRANDSEN";"POSADA DE LOS LAGOS";0;1;0;15;5;-35.1495;-58.0468;"0101000020E610000000000020FF054DC000000020249341C0"
6126035;6;126;35;"BUENOS AIRES";"CAMPANA";"CHACRAS DEL RIO LUJAN";0;1;0;1621;433;-34.2983;-58.9165;"0101000020E6100000000000604F754DC0000000602D2641C0"
6182025;6;182;25;"BUENOS AIRES";"CORONEL DE MARINA L. ROSALES";"PAGO CHICO";0;1;0;327;111;-38.7803;-62.1205;"0101000020E6100000000000A06C0F4FC000000080E16343C0"
6189075;6;189;75;"BUENOS AIRES";"CORONEL DORREGO";"PARAJE LA RUTA";0;1;0;10;8;-38.6532;-60.8625;"0101000020E6100000000000C0676E4EC0000000C09B5343C0"
6217003;6;217;3;"BUENOS AIRES";"CHASCOMUS";"BARRIO LOMAS ALTAS";0;1;0;61;25;-35.5746;-58.0684;"0101000020E610000000000020C1084DC0000000208DC941C0"
6217015;6;217;15;"BUENOS AIRES";"CHASCOMUS";"LAGUNA VITEL";0;1;0;41;11;-35.5393;-58.1352;"0101000020E6100000000000204E114DC0000000E006C541C0"
38014055;38;14;55;"JUJUY";"EL CARMEN";"LOTEO SAN VICENTE";0;1;0;211;51;-24.4297;-65.1815;"0101000020E6100000000000009D4B50C000000020036E38C0"
6413055;6;413;55;"BUENOS AIRES";"JUNIN";"PARAJE LA AGRARIA";0;1;0;40;14;-34.6573;-60.8472;"0101000020E6100000000000C0716C4EC0000000A0235441C0"
54098005;54;98;5;"MISIONES";"SAN IGNACIO";"BARRIO TUNGOIL";0;1;0;199;40;-27.1153;-55.3843;"0101000020E6100000000000C02FB14BC000000040821D3BC0"
6497025;6;497;25;"BUENOS AIRES";"LUJAN";"CLUB DE CAMPO LOS PUENTES";0;1;0;302;85;-34.5703;-59.0234;"0101000020E610000000000040FD824DC000000060FF4841C0"
34007005;34;7;5;"FORMOSA";"BERMEJO";"GUADALCAZAR";0;1;0;146;36;-23.6733;-61.1647;"0101000020E6100000000000A015954EC0000000805FAC37C0"
34063030;34;63;30;"FORMOSA";"RAMON LISTA";"EL QUEBRACHO";0;1;0;415;93;-23.3425;-61.8714;"0101000020E6100000000000A089EF4EC000000020AE5737C0"
38007035;38;7;35;"JUJUY";"COCHINOCA";"AGUA DE CASTILLA";0;1;0;96;26;-23.2333;-65.7833;"0101000020E6100000000000A0217250C000000080B93B37C0"
38007055;38;7;55;"JUJUY";"COCHINOCA";"LA REDONDA";0;1;0;45;9;-22.55;-65.5;"0101000020E610000000000000006050C0000000C0CC8C36C0"
38007063;38;7;63;"JUJUY";"COCHINOCA";"QUEBRALEÑA";0;1;0;53;22;-23.2833;-65.7667;"0101000020E6100000000000A0117150C000000060864837C0"
38007067;38;7;67;"JUJUY";"COCHINOCA";"QUERA";0;1;0;34;11;-23.0833;-65.7333;"0101000020E610000000000060EE6E50C000000020531537C0"
38007085;38;7;85;"JUJUY";"COCHINOCA";"SANTA ANA DE LA PUNA";0;1;0;41;8;-23.149;-66.0394;"0101000020E610000000000000868250C0000000C0212637C0"
38007095;38;7;95;"JUJUY";"COCHINOCA";"TAMBILLOS";0;1;0;122;21;-22.8914;-65.929;"0101000020E610000000000040747B50C00000006035E436C0"
62042245;62;42;245;"RIO NEGRO";"GENERAL ROCA";"BARRIO LUISILLO";0;1;0;52;15;-39.1003;-67.5858;"0101000020E6100000000000407EE550C0000000E0D58C43C0"
62042250;62;42;250;"RIO NEGRO";"GENERAL ROCA";"BARRIO MAR DEL PLATA";0;1;0;35;14;-39.0831;-67.6514;"0101000020E610000000000060B0E950C0000000A0A18A43C0"
62042260;62;42;260;"RIO NEGRO";"GENERAL ROCA";"BARRIO MARIA ELVIRA";0;1;0;162;43;-38.9906;-67.9603;"0101000020E61000000000004075FD50C000000080CA7E43C0"
62042265;62;42;265;"RIO NEGRO";"GENERAL ROCA";"BARRIO MOÑO AZUL";0;1;0;39;10;-39.2317;-67.495;"0101000020E610000000000020AEDF50C000000040A79D43C0"
62042270;62;42;270;"RIO NEGRO";"GENERAL ROCA";"BARRIO MOSCONI";0;1;0;564;169;-39.0911;-67.5889;"0101000020E610000000000060B0E550C000000080A98B43C0"
62042280;62;42;280;"RIO NEGRO";"GENERAL ROCA";"BARRIO NORTE";0;2;5;34;11;-38.8642;-68.0222;"0101000020E6100000000000206C0151C0000000009D6E43C0"
62042297;62;42;297;"RIO NEGRO";"GENERAL ROCA";"BARRIO PINAR";0;1;0;38;12;-38.1431;-68.4603;"0101000020E610000000000040751D51C0000000A04F1243C0"
62042310;62;42;310;"RIO NEGRO";"GENERAL ROCA";"BARRIO PORVENIR";0;1;0;39;11;-39.0433;-67.4633;"0101000020E610000000000040A7DD50C0000000008C8543C0"
62042330;62;42;330;"RIO NEGRO";"GENERAL ROCA";"BARRIO PUENTE 83";0;1;0;2512;712;-38.9569;-67.9453;"0101000020E6100000000000607FFC50C0000000207D7A43C0"
62042335;62;42;335;"RIO NEGRO";"GENERAL ROCA";"BARRIO SANTA LUCIA";0;1;0;163;44;-39.0583;-67.5069;"0101000020E6100000000000C071E050C000000080778743C0"
62042340;62;42;340;"RIO NEGRO";"GENERAL ROCA";"BARRIO SANTA RITA";0;1;0;258;66;-39.1264;-67.1025;"0101000020E6100000000000608FC650C0000000802D9043C0"
62042350;62;42;350;"RIO NEGRO";"GENERAL ROCA";"BARRIO UNION";0;1;0;106;26;-38.9797;-67.9411;"0101000020E6100000000000203BFC50C000000080677D43C0"
62042360;62;42;360;"RIO NEGRO";"GENERAL ROCA";"CATRIEL";0;1;0;17584;5276;-37.8819;-67.7936;"0101000020E610000000000080CAF250C000000080E3F042C0"
62042370;62;42;370;"RIO NEGRO";"GENERAL ROCA";"CERVANTES";0;1;0;3252;970;-39.0519;-67.3922;"0101000020E6100000000000201AD950C000000020A68643C0"
62042380;62;42;380;"RIO NEGRO";"GENERAL ROCA";"CHICHINALES";0;1;0;3057;833;-39.1153;-66.9417;"0101000020E61000000000004044BC50C000000060C18E43C0"
62042390;62;42;390;"RIO NEGRO";"GENERAL ROCA";"CINCO SALTOS";0;1;0;22790;7065;-38.8281;-68.065;"0101000020E610000000000000290451C0000000C0FD6943C0"
62042400;62;42;400;"RIO NEGRO";"GENERAL ROCA";"CIPOLLETTI";0;1;0;77713;24402;-38.925;-68.0344;"0101000020E610000000000060340251C000000060667643C0"
62042410;62;42;410;"RIO NEGRO";"GENERAL ROCA";"CONTRALMIRANTE CORDERO";0;1;0;1000;301;-38.7575;-68.0986;"0101000020E6100000000000A04F0651C0000000C0F56043C0"
62042420;62;42;420;"RIO NEGRO";"GENERAL ROCA";"FERRI";0;1;0;1385;411;-38.8875;-68.0058;"0101000020E6100000000000A05F0051C0000000A0997143C0"
62042430;62;42;430;"RIO NEGRO";"GENERAL ROCA";"GENERAL ENRIQUE GODOY";0;1;0;3112;873;-39.08;-67.1567;"0101000020E6100000000000E006CA50C0000000803D8A43C0"
62042440;62;42;440;"RIO NEGRO";"GENERAL ROCA";"GENERAL FERNANDEZ ORO";0;1;0;6772;1978;-38.9547;-67.9242;"0101000020E61000000000008025FB50C000000060347A43C0"
62042450;62;42;450;"RIO NEGRO";"GENERAL ROCA";"GENERAL ROCA";3;1;0;81534;26104;-39.0272;-67.5739;"0101000020E6100000000000A0BAE450C0000000007C8343C0"
62042460;62;42;460;"RIO NEGRO";"GENERAL ROCA";"INGENIERO LUIS A. HUERGO";0;1;0;6227;1802;-39.0717;-67.2319;"0101000020E610000000000020D8CE50C0000000602C8943C0"
62042470;62;42;470;"RIO NEGRO";"GENERAL ROCA";"INGENIERO OTTO KRAUSE";0;1;0;295;84;-39.1119;-66.9931;"0101000020E6100000000000408EBF50C000000040548E43C0"
62042480;62;42;480;"RIO NEGRO";"GENERAL ROCA";"MAINQUE";0;1;0;1848;506;-39.0642;-67.3033;"0101000020E6100000000000E069D350C0000000A0368843C0"
62042490;62;42;490;"RIO NEGRO";"GENERAL ROCA";"PASO CORDOVA";0;2;3;1024;297;-39.1081;-67.6267;"0101000020E6100000000000401BE850C0000000C0D48D43C0"
62042500;62;42;500;"RIO NEGRO";"GENERAL ROCA";"PENINSULA RUCA CO";0;1;0;158;66;-38.7014;-68.0267;"0101000020E6100000000000E0B40151C000000020C75943C0"
62042520;62;42;520;"RIO NEGRO";"GENERAL ROCA";"SARGENTO VIDAL";0;1;0;814;261;-38.6836;-68.1569;"0101000020E6100000000000600B0A51C0000000A0805743C0"
62042530;62;42;530;"RIO NEGRO";"GENERAL ROCA";"VILLA ALBERDI";0;1;0;693;184;-39.1286;-67.0472;"0101000020E6100000000000C005C350C000000060769043C0"
62042540;62;42;540;"RIO NEGRO";"GENERAL ROCA";"VILLA DEL PARQUE";0;1;0;432;117;-39.1261;-66.9967;"0101000020E610000000000060C9BF50C000000060249043C0"
62042550;62;42;550;"RIO NEGRO";"GENERAL ROCA";"VILLA MANZANO";0;1;0;2697;778;-38.6811;-68.2147;"0101000020E610000000000000BE0D51C0000000A02E5743C0"
62042560;62;42;560;"RIO NEGRO";"GENERAL ROCA";"VILLA REGINA";0;1;0;30028;9271;-39.0967;-67.0819;"0101000020E6100000000000A03EC550C0000000A05F8C43C0"
62042570;62;42;570;"RIO NEGRO";"GENERAL ROCA";"VILLA SAN ISIDRO";0;1;0;607;172;-38.7069;-68.1728;"0101000020E6100000000000C00E0B51C0000000207D5A43C0"
62049010;62;49;10;"RIO NEGRO";"9 DE JULIO";"COMICO";0;1;0;82;34;-41.0636;-67.5956;"0101000020E6100000000000A01DE650C000000060248844C0"
62049020;62;49;20;"RIO NEGRO";"9 DE JULIO";"CONA NIYEU";0;1;0;217;76;-41.8814;-66.9397;"0101000020E61000000000006024BC50C000000060D1F044C0"
62049030;62;49;30;"RIO NEGRO";"9 DE JULIO";"MINISTRO RAMOS MEXIA";0;1;0;973;278;-40.5089;-67.2608;"0101000020E610000000000080B1D050C000000040234144C0"
62049040;62;49;40;"RIO NEGRO";"9 DE JULIO";"PRAHUANIYEU";0;1;0;147;45;-41.3594;-67.9306;"0101000020E6100000000000408EFB50C00000004002AE44C0"
62049050;62;49;50;"RIO NEGRO";"9 DE JULIO";"SIERRA COLORADA";3;1;0;1542;469;-40.5856;-67.7544;"0101000020E6100000000000E048F050C000000080F34A44C0"
62049060;62;49;60;"RIO NEGRO";"9 DE JULIO";"TRENETA";0;1;0;27;13;-40.8511;-66.9808;"0101000020E610000000000000C6BE50C000000040F16C44C0"
62049070;62;49;70;"RIO NEGRO";"9 DE JULIO";"YAMINUE";0;1;0;92;29;-40.8433;-67.1914;"0101000020E6100000000000C03FCC50C000000060F26B44C0"
62056010;62;56;10;"RIO NEGRO";"ÑORQUINCO";"LAS BAYAS";0;1;0;66;29;-41.4508;-70.6817;"0101000020E610000000000060A0AB51C0000000E0B4B944C0"
58098005;58;98;5;"NEUQUEN";"PICUN LEUFU";"EL SAUCE";0;1;0;71;20;-39.4631;-69.5308;"0101000020E6100000000000A0F86151C0000000E046BB43C0"
66042003;66;42;3;"SALTA";"CHICOANA";"BARRIO FINCA LA MAROMA";0;1;0;69;19;-25.155;-65.4353;"0101000020E610000000000080DB5B50C000000060AB2739C0"
66042005;66;42;5;"SALTA";"CHICOANA";"BARRIO LA ROTONDA";0;1;0;989;230;-25.0836;-65.5354;"0101000020E610000000000040446250C000000060671539C0"
66042007;66;42;7;"SALTA";"CHICOANA";"BARRIO SANTA TERESITA";0;1;0;721;166;-25.0371;-65.5721;"0101000020E6100000000000009E6450C000000000820939C0"
66133035;66;133;35;"SALTA";"RIVADAVIA";"HITO 1";0;1;0;62;19;-22;-62.8241;"0101000020E6100000000000007D694FC000000040FEFF35C0"
66147015;66;147;15;"SALTA";"ROSARIO DE LERMA";"LA MERCED DEL ENCON";0;1;0;1031;277;-24.8707;-65.5612;"0101000020E6100000000000C0EA6350C0000000A0E7DE38C0"
70035015;70;35;15;"SAN JUAN";"CAUCETE";"BARRIO JUSTO P. CASTRO IV";0;1;0;589;175;-31.6288;-68.3023;"0101000020E6100000000000A0581351C000000080F7A03FC0"
70063010;70;63;10;"SAN JUAN";"9 DE JULIO";"ALTO DE SIERRA";0;2;5;499;113;-31.5364;-68.4169;"0101000020E610000000000000AF1A51C0000000E051893FC0"
70070005;70;70;5;"SAN JUAN";"POCITO";"BARRIO MUNICIPAL";0;1;0;973;236;-31.7523;-68.5597;"0101000020E610000000000020D22351C0000000C096C03FC0"
70070025;70;70;25;"SAN JUAN";"POCITO";"LAS PIEDRITAS";0;1;0;588;120;-31.6287;-68.6082;"0101000020E6100000000000C0EC2651C000000040F2A03FC0"
74021025;74;21;25;"SAN LUIS";"CORONEL PRINGLES";"ESTANCIA GRANDE";0;1;0;53;15;-33.211;-66.1764;"0101000020E6100000000000E04A8B50C000000000029B40C0"
74056105;74;56;105;"SAN LUIS";"LA CAPITAL";"LA PUNTA";0;1;0;13182;3839;-33.1784;-66.3114;"0101000020E610000000000000EE9350C0000000C0D59640C0"
54084007;54;84;7;"MISIONES";"MONTECARLO";"BARIO ITA";0;1;0;581;137;-26.5287;-54.707;"0101000020E6100000000000C07D5A4BC0000000605A873AC0"
38077045;38;77;45;"JUJUY";"SANTA CATALINA";"EL ANGOSTO";0;1;0;25;7;-21.8764;-66.1886;"0101000020E610000000000000128C50C0000000C05BE035C0"
86091005;86;91;5;"SANTIAGO DEL ESTERO";"JIMENEZ";"EL ARENAL";0;1;0;54;13;-26.7167;-64.4;"0101000020E6100000000000A0991950C00000008077B73AC0"
62056020;62;56;20;"RIO NEGRO";"ÑORQUINCO";"MAMUEL CHOIQUE";0;1;0;243;85;-41.7703;-70.1697;"0101000020E6100000000000C0DC8A51C00000008098E244C0"
62056030;62;56;30;"RIO NEGRO";"ÑORQUINCO";"ÑORQUINCO";3;1;0;565;160;-41.8439;-70.8933;"0101000020E6100000000000602CB951C00000008004EC44C0"
62056040;62;56;40;"RIO NEGRO";"ÑORQUINCO";"OJOS DE AGUA";0;1;0;69;32;-41.5353;-69.8536;"0101000020E6100000000000A0A17651C00000000084C444C0"
62056050;62;56;50;"RIO NEGRO";"ÑORQUINCO";"RIO CHICO";0;1;0;282;96;-41.7169;-70.47;"0101000020E610000000000080149E51C0000000E0C4DB44C0"
62063005;62;63;5;"RIO NEGRO";"PICHI MAHUIDA";"BARRIO ESPERANZA";0;1;0;67;19;-39.085;-64.6736;"0101000020E6100000000000801C2B50C000000040E18A43C0"
62063010;62;63;10;"RIO NEGRO";"PICHI MAHUIDA";"COLONIA JULIA Y ECHARREN";0;1;0;936;305;-39.0364;-64.0131;"0101000020E6100000000000E0D50050C000000060A88443C0"
62063013;62;63;13;"RIO NEGRO";"PICHI MAHUIDA";"JUVENTUD UNIDA";0;1;0;63;21;-39.0369;-64.1136;"0101000020E610000000000060450750C0000000A0BA8443C0"
62063017;62;63;17;"RIO NEGRO";"PICHI MAHUIDA";"PICHI MAHUIDA";0;1;0;46;5;-39.3875;-65.5653;"0101000020E6100000000000802D6450C0000000A099B143C0"
62063020;62;63;20;"RIO NEGRO";"PICHI MAHUIDA";"RIO COLORADO";3;2;4;11733;3833;-38.9917;-64.0867;"0101000020E6100000000000008C0550C0000000E0EE7E43C0"
62063060;62;63;60;"RIO NEGRO";"PICHI MAHUIDA";"SALTO ANDERSEN";0;1;0;16;16;-39.3742;-65.3719;"0101000020E610000000000000CE5750C0000000C0E4AF43C0"
62070005;62;70;5;"RIO NEGRO";"PILCANIYEU";"CAÑADON CHILENO";0;1;0;44;14;-41.4919;-70.0419;"0101000020E610000000000040AF8251C000000000F8BE44C0"
62070010;62;70;10;"RIO NEGRO";"PILCANIYEU";"COMALLO";0;1;0;1497;414;-41.0303;-70.2689;"0101000020E610000000000080359151C000000020E08344C0"
62070020;62;70;20;"RIO NEGRO";"PILCANIYEU";"DINA HUAPI";0;1;0;3469;1129;-41.0694;-71.1611;"0101000020E6100000000000A04FCA51C000000080E38844C0"
62070030;62;70;30;"RIO NEGRO";"PILCANIYEU";"LAGUNA BLANCA";0;1;0;102;30;-40.7931;-69.88;"0101000020E6100000000000E0517851C0000000E0826544C0"
62070040;62;70;40;"RIO NEGRO";"PILCANIYEU";"ÑIRIHUAU";0;1;0;261;66;-41.0889;-71.1358;"0101000020E610000000000080B1C851C0000000C0608B44C0"
62070060;62;70;60;"RIO NEGRO";"PILCANIYEU";"PILCANIYEU";3;1;0;757;236;-41.1256;-70.7206;"0101000020E6100000000000A01DAE51C000000040129044C0"
62070070;62;70;70;"RIO NEGRO";"PILCANIYEU";"PILQUINIYEU DEL LIMAY";0;1;0;106;34;-40.5453;-70.0522;"0101000020E6100000000000A0578351C0000000A0CB4544C0"
62070080;62;70;80;"RIO NEGRO";"PILCANIYEU";"VILLA LLANQUIN";0;1;0;113;42;-40.9242;-71.0328;"0101000020E61000000000000019C251C0000000204B7644C0"
62077005;62;77;5;"RIO NEGRO";"SAN ANTONIO";"EL EMPALME";0;1;0;81;30;-41.1872;-65.0083;"0101000020E610000000000080884050C0000000E0F69744C0"
62077010;62;77;10;"RIO NEGRO";"SAN ANTONIO";"LAS GRUTAS";0;1;0;4807;1721;-40.8064;-65.0839;"0101000020E6100000000000605E4550C0000000C0376744C0"
62077020;62;77;20;"RIO NEGRO";"SAN ANTONIO";"PLAYAS DORADAS";0;1;0;194;85;-41.6303;-65.0208;"0101000020E610000000000060554150C000000000ADD044C0"
62077030;62;77;30;"RIO NEGRO";"SAN ANTONIO";"PUERTO SAN ANTONIO ESTE";0;1;0;381;120;-40.8011;-64.8769;"0101000020E6100000000000E01F3850C0000000C08A6644C0"
62077040;62;77;40;"RIO NEGRO";"SAN ANTONIO";"PUNTA COLORADA";0;1;0;4;4;-41.6944;-65.0236;"0101000020E6100000000000E0824150C000000080E3D844C0"
62077045;62;77;45;"RIO NEGRO";"SAN ANTONIO";"SACO VIEJO";0;1;0;8;3;-41.3661;-65.2722;"0101000020E6100000000000206C5150C0000000C0DCAE44C0"
62077050;62;77;50;"RIO NEGRO";"SAN ANTONIO";"SAN ANTONIO OESTE";3;1;0;16265;4910;-40.7317;-64.9544;"0101000020E6100000000000A0153D50C000000040A75D44C0"
62077060;62;77;60;"RIO NEGRO";"SAN ANTONIO";"SIERRA GRANDE";0;1;0;7404;2285;-41.6075;-65.3525;"0101000020E6100000000000608F5650C000000080C2CD44C0"
62042190;62;42;190;"RIO NEGRO";"GENERAL ROCA";"BARRIO LA COSTA 1";0;1;0;94;28;-39.0758;-67.5383;"0101000020E61000000000000074E250C0000000E0B48943C0"
62084010;62;84;10;"RIO NEGRO";"VALCHETA";"AGUADA CECILIO";0;1;0;155;43;-40.8483;-65.8383;"0101000020E610000000000040A77550C000000020966C44C0"
62084020;62;84;20;"RIO NEGRO";"VALCHETA";"ARROYO LOS BERROS";0;1;0;168;54;-41.4375;-66.0942;"0101000020E6100000000000E0068650C00000000000B844C0"
62084030;62;84;30;"RIO NEGRO";"VALCHETA";"ARROYO VENTANA";0;1;0;30;14;-41.6658;-66.085;"0101000020E6100000000000A0708550C0000000003AD544C0"
62084040;62;84;40;"RIO NEGRO";"VALCHETA";"NAHUEL NIYEU";0;1;0;32;9;-40.5044;-66.5647;"0101000020E61000000000006024A450C0000000A0914044C0"
62084050;62;84;50;"RIO NEGRO";"VALCHETA";"SIERRA PAILEMAN";0;1;0;74;23;-41.1817;-65.9606;"0101000020E6100000000000C0797D50C0000000E0409744C0"
62084060;62;84;60;"RIO NEGRO";"VALCHETA";"VALCHETA";3;1;0;3867;1167;-40.6783;-66.1644;"0101000020E610000000000040868A50C0000000A0D35644C0"
62091010;62;91;10;"RIO NEGRO";"25 DE MAYO";"AGUADA DE GUERRA";0;1;0;126;34;-41.0642;-68.3833;"0101000020E610000000000080881851C0000000A0368844C0"
62091020;62;91;20;"RIO NEGRO";"25 DE MAYO";"CLEMENTE ONELLI";0;1;0;114;30;-41.2453;-70.0331;"0101000020E6100000000000A01D8251C000000040659F44C0"
62091030;62;91;30;"RIO NEGRO";"25 DE MAYO";"COLAN CONHUE";0;1;0;76;27;-40.6711;-69.1103;"0101000020E6100000000000C00E4751C000000000E75544C0"
62091040;62;91;40;"RIO NEGRO";"25 DE MAYO";"EL CAIN";0;1;0;176;51;-41.8186;-68.0764;"0101000020E610000000000080E30451C000000040C8E844C0"
62091050;62;91;50;"RIO NEGRO";"25 DE MAYO";"INGENIERO JACOBACCI";0;1;0;6261;1963;-41.3272;-69.5431;"0101000020E610000000000060C16251C000000060E2A944C0"
62091060;62;91;60;"RIO NEGRO";"25 DE MAYO";"LOS MENUCOS";0;1;0;5187;1297;-40.8456;-68.0822;"0101000020E610000000000020430551C0000000203B6C44C0"
62091070;62;91;70;"RIO NEGRO";"25 DE MAYO";"MAQUINCHAO";3;1;0;2494;694;-41.2478;-68.6992;"0101000020E610000000000020BF2C51C000000020B79F44C0"
62091080;62;91;80;"RIO NEGRO";"25 DE MAYO";"MINA SANTA TERESITA";0;1;0;3;2;-40.9347;-69.4106;"0101000020E610000000000080465A51C000000000A57744C0"
62091090;62;91;90;"RIO NEGRO";"25 DE MAYO";"PILQUINIYEU";0;1;0;46;14;-41.9086;-68.3414;"0101000020E610000000000060D91551C0000000604DF444C0"
66007010;66;7;10;"SALTA";"ANTA";"APOLINARIO SARAVIA";0;1;0;6730;1663;-24.4408;-63.9997;"0101000020E6100000000000E0F6FF4FC000000080DA7038C0"
66007020;66;7;20;"SALTA";"ANTA";"CEIBALITO";0;1;0;176;39;-25.1286;-64.2889;"0101000020E6100000000000207D1250C0000000A0EC2039C0"
66007030;66;7;30;"SALTA";"ANTA";"CENTRO 25 DE JUNIO";0;1;0;877;193;-24.9781;-63.8692;"0101000020E6100000000000E040EF4FC0000000E061FA38C0"
66007040;66;7;40;"SALTA";"ANTA";"CORONEL MOLLINEDO";0;1;0;1061;249;-24.5142;-64.0642;"0101000020E6100000000000401B0450C000000060A08338C0"
66007050;66;7;50;"SALTA";"ANTA";"CORONEL OLLEROS";0;1;0;432;104;-25.1153;-64.225;"0101000020E610000000000060660E50C0000000E0821D39C0"
66007060;66;7;60;"SALTA";"ANTA";"EL QUEBRACHAL";0;1;0;6536;1501;-25.3525;-64.0281;"0101000020E6100000000000A0CB0150C0000000803D5A39C0"
66007070;66;7;70;"SALTA";"ANTA";"GAONA";0;1;0;1883;418;-25.2589;-64.0464;"0101000020E610000000000000F80250C000000080464239C0"
66007080;66;7;80;"SALTA";"ANTA";"GENERAL PIZARRO";0;1;0;1604;397;-24.235;-63.9903;"0101000020E610000000000060C1FE4FC000000000293C38C0"
66007090;66;7;90;"SALTA";"ANTA";"JOAQUIN V. GONZALEZ";3;1;0;16329;3769;-25.13;-64.1378;"0101000020E610000000000060D10850C0000000A0472139C0"
66007100;66;7;100;"SALTA";"ANTA";"LAS LAJITAS";0;1;0;9887;2202;-24.7339;-64.1989;"0101000020E6100000000000A0BA0C50C000000020E0BB38C0"
66007110;66;7;110;"SALTA";"ANTA";"LUIS BURELA";0;1;0;1070;233;-24.3983;-63.9953;"0101000020E61000000000004065FF4FC000000020F96538C0"
66007120;66;7;120;"SALTA";"ANTA";"MACAPILLO";0;1;0;90;22;-25.4222;-63.9889;"0101000020E6100000000000E093FE4FC0000000C0166C39C0"
66007130;66;7;130;"SALTA";"ANTA";"NUESTRA SEÑORA DE TALAVERA";0;1;0;1328;313;-25.4817;-63.7872;"0101000020E6100000000000C0C3E44FC0000000804E7B39C0"
66007140;66;7;140;"SALTA";"ANTA";"PIQUETE CABADO";0;1;0;681;164;-24.8267;-64.1847;"0101000020E610000000000080D20B50C000000060A0D338C0"
66007150;66;7;150;"SALTA";"ANTA";"RIO DEL VALLE";0;1;0;758;189;-24.6847;-64.2011;"0101000020E610000000000000DF0C50C0000000004AAF38C0"
66007160;66;7;160;"SALTA";"ANTA";"TOLLOCHE";0;1;0;197;43;-25.5472;-63.5333;"0101000020E61000000000004044C44FC0000000C0168C39C0"
66014010;66;14;10;"SALTA";"CACHI";"CACHI";3;1;0;2616;680;-25.1208;-66.1672;"0101000020E6100000000000C0B38A50C0000000E0EE1E39C0"
66014020;66;14;20;"SALTA";"CACHI";"PAYOGASTA";0;1;0;532;127;-25.0497;-66.1019;"0101000020E610000000000040868650C0000000A0BA0C39C0"
66021010;66;21;10;"SALTA";"CAFAYATE";"CAFAYATE";3;1;0;13698;3234;-26.0772;-65.9856;"0101000020E610000000000060137F50C0000000E0C4133AC0"
66021020;66;21;20;"SALTA";"CAFAYATE";"TOLOMBON";0;1;0;300;81;-26.2036;-65.9461;"0101000020E6100000000000208D7C50C0000000E01F343AC0"
66028010;66;28;10;"SALTA";"CAPITAL";"ATOCHA";0;1;0;730;168;-24.8167;-65.4786;"0101000020E6100000000000A0A15E50C00000002011D138C0"
66028030;66;28;30;"SALTA";"CAPITAL";"LA CIENAGA Y BARRIO SAN RAFAEL";0;2;5;5342;1304;-24.8022;-65.4575;"0101000020E6100000000000A0475D50C0000000605ECD38C0"
66028040;66;28;40;"SALTA";"CAPITAL";"LAS COSTAS";0;1;0;442;126;-24.7692;-65.4858;"0101000020E6100000000000E0175F50C000000020E8C438C0"
66028050;66;28;50;"SALTA";"CAPITAL";"SALTA";2;2;3;520683;133043;-24.7831;-65.4133;"0101000020E610000000000000745A50C00000006076C838C0"
